Date,open,high,low,close,volume,dividends,stock splits,capital gains
2023-10-18 00:00:00-04:00,423.25132340636975,424.216372519667,418.27980328716836,419.37158203125,93559800,0.0,0.0,0.0
2023-10-19 00:00:00-04:00,420.0929124098837,421.915795975772,415.0044208134736,415.686767578125,121323000,0.0,0.0,0.0
2023-10-20 00:00:00-04:00,415.24812835484806,415.7940176738114,410.4715521908134,410.57879638671875,123919900,0.0,0.0,0.0
2023-10-23 00:00:00-04:00,409.03862637027237,413.7567169917276,407.27422861772504,409.8672180175781,92035100,0.0,0.0,0.0
2023-10-24 00:00:00-04:00,412.0020152211512,414.11735869256864,410.14013099251554,412.95733642578125,78564200,0.0,0.0,0.0
2023-10-25 00:00:00-04:00,411.26120475074754,411.2904477612155,406.5138712273653,407.030517578125,94223200,0.0,0.0,0.0
2023-10-26 00:00:00-04:00,405.9582948941742,406.81609987049757,401.23047606767176,402.1565246582031,115156800,0.0,0.0,0.0
2023-10-27 00:00:00-04:00,403.75516850556505,404.1548428016782,398.90062068187893,400.3335876464844,107367700,0.0,0.0,0.0
2023-10-30 00:00:00-04:00,403.1410168304096,406.1824086755449,401.8347795507034,405.119873046875,86562700,0.0,0.0,0.0
2023-10-31 00:00:00-04:00,405.6950255751164,407.9858271586759,403.7746552793757,407.6641540527344,79665200,0.0,0.0,0.0
2023-11-01 00:00:00-04:00,408.6389268582989,412.83058321816253,408.1027653944884,412.0117492675781,98068100,0.0,0.0,0.0
2023-11-02 00:00:00-04:00,415.83300050786625,420.0636874749131,415.81351508474745,419.90771484375,94938900,0.0,0.0,0.0
2023-11-03 00:00:00-04:00,422.2278004846274,425.2984357283652,422.1010708501771,423.7387390136719,100167800,0.0,0.0,0.0
2023-11-06 00:00:00-05:00,424.499042329037,425.16190369457485,422.7541301400226,424.7135009765625,67831700,0.0,0.0,0.0
2023-11-07 00:00:00-05:00,424.713520975765,426.56564770138766,423.56325624339013,425.9222717285156,64256100,0.0,0.0,0.0
